"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-146c3p1 href","css-146c3p1","css-146c3p1 2","css-1jxf684 href","css-1jxf684 4","css-1jxf684 5","css-1jxf684 href 2","css-1jxf684 6","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-175oi2r href 4","css-1jxf684 10","css-1jxf684 11","css-1jxf684 href 3","css-1jxf684 12","r-4qtqp9 src","css-1jxf684 13","css-1jxf684 href 4","css-1jxf684 14","css-1jxf684 15"
"https://x.com/DavidDavid53385","https://pbs.twimg.com/profile_images/1672892930984484866/cJ-Js83s_normal.png","David David","@DavidDavid53385","https://x.com/DavidDavid53385/status/2009690457778078193","3h","En respuesta a","https://x.com/grok","@grok","Bien lejos. Es sospechoso que ambos hubieran sido ocasionados naturalmente o que o que los fuegos en un parque llegaran hasta el otro parque. Cuantos kms quemados hay hasta ahora? Comparado a otros incendios forestales en la","","Patagonia","son muy grandes? En qué puesto del ranking?","@Bracesco2023","","https://x.com/DavidDavid53385/status/2009690457778078193/analytics","1","y","https://x.com/Coronel_Kurzt","29","","@Coronel_Kurzt","https://x.com/Bracesco2023","",""
"https://x.com/GordoBirrero85","https://pbs.twimg.com/profile_images/1840432082557816832/fgkwwU_i_normal.jpg","Germán Hollmann","@GordoBirrero85","https://x.com/GordoBirrero85/status/2009688705045598251","3h","En respuesta a","https://x.com/luabt85","@luabt85","","","","Hola","patagonia","podrás decirnos cuántos incendios forestales hubo en la","https://x.com/GordoBirrero85/status/2009688705045598251/analytics","1 mil","2","","","","@grok","https://x.com/grok","5",""
"https://x.com/1dolar1austral","https://pbs.twimg.com/profile_images/1517258768718856192/_CB4troa_normal.jpg","Ivan Sinclair","@1dolar1austral","https://x.com/1dolar1austral/status/2009657005741662444","6h","En respuesta a","https://x.com/Biggyuyo","@Biggyuyo","y","https://x.com/ferosoriano","@ferosoriano","Exacto. Hay que despoblar la","Patagonia",". No es una zona para habitar","https://x.com/1dolar1austral/status/2009657005741662444/analytics","249","1","https://x.com/grok","@grok","","","","1",""
"https://x.com/ponziopilatoz","https://pbs.twimg.com/profile_images/1752703781215891456/0I9dapYL_normal.png","PonCEO","@ponziopilatoz","https://x.com/ponziopilatoz/status/2009656587082973381","6h","En respuesta a","https://x.com/Crowd3DStudios","@Crowd3DStudios","y","https://x.com/BiondiniCesar","@BiondiniCesar","en la","","chilena, en torres del paine hubo un incendio, de que pais era el culpable y porque no fue a la carcel pagando fianza?","https://x.com/ponziopilatoz/status/2009656587082973381/analytics","40","1","","","","@grok","https://x.com/grok","","patagonia"
"https://x.com/Jf20042323","https://pbs.twimg.com/profile_images/2009034295583637506/eCxL7vKw_normal.jpg","Jf","@Jf20042323","https://x.com/Jf20042323/status/2009654182278803754","6h","En respuesta a","https://x.com/grok","@grok","y","https://x.com/PamphletsY","@PamphletsY","es claro que son de Israel, hay una población de ellos en la","","","https://x.com/Jf20042323/status/2009654182278803754/analytics","44","1","","","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/Guajiraagricola","https://pbs.twimg.com/profile_images/2004350750537691136/wRSlHaXK_normal.jpg","guajira actual","@Guajiraagricola","https://x.com/Guajiraagricola/status/2009653280914198873","6h","Respondiendo a","https://x.com/EsmeHernandezSi","@EsmeHernandezSi","","https://x.com/PlataformaALTO","@PlataformaALTO","histórico de incendios últimos 200 años en","","","https://x.com/Guajiraagricola/status/2009653280914198873/analytics","193","1","https://x.com/Guajiraagricola/status/2009653280914198873/people","y 6 más","","@grok","https://x.com/grok","","patagonia"
"https://x.com/valala1a","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","val","@valala1a","https://x.com/valala1a/status/2009651507428532593","6h","En respuesta a","https://x.com/savignonmns","@savignonmns","y","https://x.com/grok","@grok","quién es Theodor Herzl? Qué ideas tenía sobre la","","?","https://x.com/valala1a/status/2009651507428532593/analytics","15","1","https://x.com/DenaonIsBack","@DenaonIsBack","https://abs-0.twimg.com/emoji/v2/svg/2b50.svg","@grok","https://x.com/grok","","Patagonia"
"https://x.com/bdouglas_111","https://pbs.twimg.com/profile_images/1972760908402171904/h6siZpyW_normal.jpg","BDouglas","@bdouglas_111","https://x.com/bdouglas_111/status/2009644468958531826","6h","En respuesta a","https://x.com/LANACION","@LANACION","","","","what is Israeli interest in","","?","https://x.com/bdouglas_111/status/2009644468958531826/analytics","29","1","","","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/kindrionl","https://pbs.twimg.com/profile_images/2006822492615131136/EeMhZHWh_normal.jpg","Kindrion","@kindrionl","https://x.com/kindrionl/status/2009637990377882111","7h","Respondiendo a","https://x.com/Thaeus4","@Thaeus4","@Diego_887129","","","O negacionista eu não sei, mas acho que me expressei mal e queria me retratar que não sou um negacionista e sei que a","Patagônia","está queimando e que isso é uma notícia terrível.","https://x.com/kindrionl/status/2009637990377882111/analytics","15","1","https://x.com/kindrionl/status/2009637990377882111/people","y 2 más","","","","",""
"https://x.com/Jf20042323","https://pbs.twimg.com/profile_images/2009034295583637506/eCxL7vKw_normal.jpg","Jf","@Jf20042323","https://x.com/Jf20042323/status/2009654182278803754","6h","En respuesta a","https://x.com/grok","@grok","y","https://x.com/PamphletsY","@PamphletsY","es claro que son de Israel, hay una población de ellos en la","3:50","","https://x.com/Jf20042323/status/2009654182278803754/analytics","44","1","","","","@grok","https://x.com/grok","","Patagonia"
